clave_inegi,entidad,anio,mortalidad
19,Nuevo León,2001,19.38188593648736
19,Nuevo León,2002,23.705848995463384
19,Nuevo León,2003,25.093162670123135
19,Nuevo León,2004,26.76401490602722
19,Nuevo León,2005,29.994329228775115
19,Nuevo León,2006,27.695641607258587
19,Nuevo León,2007,31.452527543745948
19,Nuevo León,2008,33.53856124432923
19,Nuevo León,2009,34.94612767336358
19,Nuevo León,2010,35.01701231367466
19,Nuevo León,2011,32.89047310434219
19,Nuevo León,2012,34.69296824368114
19,Nuevo León,2013,37.11317239144524
19,Nuevo León,2014,39.08781594296824
19,Nuevo León,2015,39.553629293583924
19,Nuevo León,2016,43.12824044069993
19,Nuevo León,2017,43.330767984445885
19,Nuevo León,2018,40.56626701231367
20,Oaxaca,2001,17.6300226830849
20,Oaxaca,2002,19.90845755022683
20,Oaxaca,2003,20.840084251458197
20,Oaxaca,2004,22.764095917044717
20,Oaxaca,2005,24.890635126377187
20,Oaxaca,2006,23.736228127025274
20,Oaxaca,2007,26.52098185353208
20,Oaxaca,2008,29.194345430978615
20,Oaxaca,2009,31.199368114063514
20,Oaxaca,2010,34.32841866493843
20,Oaxaca,2011,35.04739144523655
20,Oaxaca,2012,36.394199611147116
20,Oaxaca,2013,39.02705767984446
20,Oaxaca,2014,41.11309138042774
20,Oaxaca,2015,45.31553791315619
20,Oaxaca,2016,46.945884640311085
20,Oaxaca,2017,47.6851101749838
20,Oaxaca,2018,47.6749837977965
21,Puebla,2001,35.57396305897602
21,Puebla,2002,37.87265068049255
21,Puebla,2003,41.133344134802336
21,Puebla,2004,43.61430654569021
21,Puebla,2005,48.31294556059624
21,Puebla,2006,49.58886908619572
21,Puebla,2007,47.82687945560596
21,Puebla,2008,50.895171743357096
21,Puebla,2009,54.29763447828905
21,Puebla,2010,58.57096565132858
21,Puebla,2011,58.581092028515876
21,Puebla,2012,61.143065456902136
21,Puebla,2013,65.22399546338302
21,Puebla,2014,68.83911211924821
21,Puebla,2015,70.82388204795852
21,Puebla,2016,77.66931302657161
21,Puebla,2017,79.62370382372002
21,Puebla,2018,78.33765392093325
22,Querétaro,2001,7.311244329228775
22,Querétaro,2002,8.85045366169799
22,Querétaro,2003,9.05298120544394
22,Querétaro,2004,9.265635126377187
22,Querétaro,2005,9.863091380427738
22,Querétaro,2006,10.53143227478937
22,Querétaro,2007,10.997245625405055
22,Querétaro,2008,12.344053791315618
22,Querétaro,2009,12.404812054439404
22,Querétaro,2010,12.94151004536617
22,Querétaro,2011,12.394685677252106
22,Querétaro,2012,13.78199935191186
22,Querétaro,2013,14.74400518470512
22,Querétaro,2014,15.189565780946209
22,Querétaro,2015,14.98703823720026
22,Querétaro,2016,17.437621516526246
22,Querétaro,2017,16.890797148412183
22,Querétaro,2018,16.151571613739467
23,Quintana Roo,2001,2.075907323395982
23,Quintana Roo,2002,2.2986876215165264
23,Quintana Roo,2003,2.68348995463383
23,Quintana Roo,2004,3.4227154893065457
23,Quintana Roo,2005,3.7771386908619573
23,Quintana Roo,2006,3.7973914452365523
